"ID","IntDate","H4","G3_EDU","H1","AGE","A1","B8_1","A7_1","A10","A13_1","A13_2","A13_3","C8_1","C8_2","C8_3","C8_4","C8_5","C8_6","W5"
"27900670","2022-06-08",0,"University","Male",34,3,7,1,3,NA,0,0,0,0,0,0,0,0,1
"27900672","2022-08-12",0,"Non-University","Female",69,2,10,1,3,NA,0,0,0,0,0,0,0,0,0
"27900674","2022-07-15",0,"Non-University","Female",66,1,7,0,1,NA,0,0,0,0,0,0,0,0,1
"27900677","2022-08-12",0,"University","Male",43,3,2,0,3,1,0,0,1,0,1,1,1,1,0
"27900678","2022-05-29",0,"Non-University","Male",47,2,4,0,3,NA,0,0,1,NA,NA,NA,1,1,0
"27900684","2022-08-12",0,"Non-University","Female",30,2,1,1,1,NA,0,0,0,0,0,0,0,0,1
"27900685","2022-06-08",0,"Non-University","Female",48,2,7,0,2,NA,0,0,0,0,0,0,0,0,1
"27900689","2022-08-12",0,"Non-University","Male",59,3,5,0,2,NA,0,0,0,1,0,0,1,0,0
"27900698","2022-09-30",0,"Non-University","Male",92,1,0,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900709","2022-08-10",0,"University","Male",37,2,5,1,3,NA,0,0,0,0,0,0,0,0,0
"27900715","2022-08-12",0,"Non-University","Female",64,2,0,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900725","2022-06-06",0,"University","Male",59,2,4,0,3,NA,0,0,1,0,0,0,0,1,1
"27900727","2022-08-12",0,"Non-University","Female",41,1,5,0,NA,NA,0,0,1,1,1,1,1,0,0
"27900740","2022-06-08",0,"University","Female",28,1,4,1,1,NA,0,0,0,0,0,0,0,1,0
"27900743","2022-05-29",0,"Non-University","Male",66,2,10,0,3,NA,0,0,1,0,0,0,0,0,0
"27900745","2022-08-12",0,"Non-University","Male",82,2,7,0,3,NA,0,0,NA,NA,NA,NA,NA,NA,0
"27900759","2022-09-30",0,"Non-University","Male",49,1,5,1,NA,NA,0,0,0,0,0,0,0,0,0
"27900760","2022-06-05",0,"University","Female",60,2,3,1,3,NA,0,0,0,0,0,0,0,0,0
"27900764","2022-08-24",0,"University","Male",42,2,7,1,1,NA,0,0,0,0,0,0,0,0,0
"27900765","2022-08-12",0,"Non-University","Male",58,1,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900769","2022-06-04",0,"University","Male",55,1,6,0,3,NA,1,0,0,0,0,0,0,0,0
"27900778","2022-06-06",0,"University","Female",34,1,6,0,2,NA,0,0,0,0,0,0,0,1,0
"27900780","2022-05-26",1,"Non-University","Female",30,2,5,1,2,NA,0,0,0,0,0,0,0,0,0
"27900784","2022-06-03",0,"University","Male",33,2,4,0,3,NA,0,0,0,0,0,0,0,0,0
"27900787","2022-08-27",0,"University","Female",29,1,5,1,2,NA,0,0,1,0,0,1,0,0,NA
